title,description,r,g,b,
中粗粒質表層グライ化低地水田土,次表層の土性が粗砂壌土、壌質砂土、砂土、シルト質壌土、壌土、細砂壌土である表層グライ化低地水田土。,4,118,255,
下層褐色低地水田土,土壌表面から75cm以内に厚さ15cm以上の黄褐色の層（乾いた条件下で生成）の上端が現れる低地水田土。,6,112,255,
礫質下層褐色低地水田土,土壌表面から60cm以内に礫層または岩盤が現れる下層褐色低地水田土。,6,114,255,
細粒質下層褐色低地水田土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である下層褐色低地水田土。,6,116,255,
中粒質下層褐色低地水田土,次表層の土性がシルト質壌土、壌土、細砂壌土である下層褐色低地水田土。,6,118,255,
粗粒質下層褐色低地水田土,次表層の土性が粗砂壌土、壌質砂土、砂土である下層褐色低地水田土。,6,120,255,
漂白化低地水田土,水田の作土層のうち、粘土、鉄の移動により漂白化を受けた低地水田土。,8,112,255,
礫質漂白化低地水田土,土壌表面から60cm以内に礫層または岩盤が現れる漂白化低地水田土。,8,114,255,
典型漂白化低地水田土,典型的な漂白化低地水田土。,8,116,255,
普通低地水田土,典型的な低地水田土。,10,112,255,
礫質普通低地水田土,土壌表面から60cm以内に礫層または岩盤が現れる普通低地水田土。,10,114,255,
細粒質普通低地水田土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である普通低地水田土。,10,116,255,
中粒質普通低地水田土,次表層の土性がシルト質壌土、壌土、細砂壌土である普通低地水田土。,10,118,255,
粗粒質普通低地水田土,次表層の土性が粗砂壌土、壌質砂土、砂土である普通低地水田土。,10,120,255,
グライ低地土,低地土大群の中で、最も地下水位が高く、年間を通じてほとんど水に飽和されたグライ層が50cm以内に出てくる土壌。,3,15,255,
還元型グライ低地土,土壌表面から25cm以深のグライ層に「含む」以上の斑鉄がないグライ低地土。,5,15,255,
礫質還元型グライ低地土,土壌表面から60cm以内に礫層または岩盤が現れる還元型グライ低地土。,5,17,255,
細粒質還元型グライ低地土,次表層の土性が重埴土、シルト質埴土、軽埴土、砂質埴土、シルト質埴壌土、埴壌土、砂質埴壌土である還元型グライ低地土。,5,19,255,
